pheno	n	beta2	auc	pearsonr	spearmanr
BIN1210	85399	0.9661148180568252	0.6095362389534036	na	-0.013945524657056424
BIN1677	128182	0.9051694351687776	0.6345101527627863	na	-0.008964525061654016
BIN1920	106514	1.0398862607519497	0.5769915733161464	na	0.01575289987355611
BIN1930	101762	0.9952020720946061	0.6056694077899807	na	0.0053041406062336385
BIN1940	65492	1.033321516398323	0.5776801441219315	na	0.008435186317476796
BIN1950	130042	1.0705632037083723	0.6051872230805722	na	0.0068309142830034735
BIN1960	96478	0.9905972329597929	0.5805503079374947	na	-0.00819177091968985
BIN1970	56175	0.9020927737331946	0.557839186531494	na	0.0009714709837851145
BIN1980	132961	1.0266229134387659	0.5869779317571524	na	0.010607184445997838
BIN1990	40534	1.0388329973350223	0.5519942052109056	na	0.004183754477091779
BIN2000	111611	0.8932369728819564	0.5851624716444525	na	-0.006014975556198477
BIN2010	50451	1.0266055159165275	0.5459767039154495	na	0.0002704863543082673
BIN2020	42787	1.1657090284114913	0.5736662700635135	na	0.009851387487587066
BIN2030	67720	0.988108244629752	0.5929147062700936	na	0.002817667932263185
BIN2040	59914	0.993192172646664	0.6270511938665743	na	-0.008419183241658868
BIN20499	29876	1.1663158633627984	0.623552665730343	na	0.01370180100016848
BIN2090	82526	0.8988944291870913	0.5978894678709838	na	-0.012450705476027949
BIN21035	24699	0.9435436631817514	0.6215264619635624	na	-0.013838291759266368
BIN21068	1601	4.903401533068889	0.6460494231804257	na	0.05264950753761318
BIN22126	13764	0.8018114807362934	0.5659510882506802	na	-0.039712664341521646
BIN22127	7608	1.3186525760418557	0.5504059085079539	na	0.021405615281071693
BIN22504	5048	0.794253861982798	0.6055731341817354	na	-0.02839737836248044
BIN3606	6509	1.3485816054592223	0.583494303749807	na	0.0038963564344035497
BIN4598	51629	0.8859866824332946	0.5833694135714618	na	-0.01851931314993944
BIN4642	4916	1.1657349595836834	0.606521002683998	na	0.0038856194293962615
BIN4653	16242	0.9867070075560361	0.5951318647010582	na	0.013478413667231182
BIN4728	21864	1.238524017092718	0.5573007228357764	na	0.0017160995301915233
BIN_FC10001787	62665	1.056473336428048	0.5523279672818738	na	-0.0008502152282178532
BIN_FC10001797	53428	0.943471292373293	0.8389855400067018	na	0.013976762635700983
BIN_FC10001835	91789	0.8240542752435064	0.8064033701990826	na	-0.012233716571192583
BIN_FC10002159	7238	1.02732079379669	0.6470831652461491	na	0.0032827919463506317
BIN_FC10002188	78583	1.0598393416634806	0.5845064659336429	na	0.013894503239597292
