pheno	n	beta2	auc	pearsonr	spearmanr
BIN1210	8243	0.9156004103397175	0.6090999118393957	na	0.003130419526303493
BIN1677	14204	1.0984537005818586	0.615234036346022	na	-0.0008516273517765516
BIN1920	10921	1.2310470638154856	0.5577859874499944	na	0.01257527780554863
BIN1930	10488	1.1083652559053487	0.5813923684586508	na	0.012440495035358424
BIN1940	7366	1.2218148455079383	0.5673561902528426	na	0.005875280929042466
BIN1950	13147	1.0364944102805977	0.5734508689867984	na	0.007685142515432277
BIN1960	9553	0.888629346449045	0.5604652818714331	na	-0.004743031445604725
BIN1970	6132	0.9392425533578744	0.5400516079711004	na	0.0036862232601720113
BIN1980	13972	0.9237711965910024	0.5728877865286606	na	-0.002447428678168987
BIN1990	5243	0.9243552121309917	0.5304872792598916	na	-0.0014109672993323059
BIN2000	11646	0.871081509532291	0.5603596119959389	na	-0.0010008118602999499
BIN2010	4960	0.926658922034886	0.5429637450537463	na	0.006342803343884015
BIN2020	5271	1.0376255261617346	0.5523142726737077	na	0.011477120074455624
BIN2030	7753	0.9320488141421995	0.5629649394401266	na	-0.0024951956118008725
BIN2040	8855	1.056060685530618	0.5883671786674827	na	-0.02218135798773381
BIN20499	3573	0.9273638921054672	0.6027611036751552	na	0.009193246422632943
BIN2090	8480	1.1104217710678732	0.576893566546484	na	-0.000563095324486641
BIN21035	2605	0.7515500751864423	0.5958254096016464	na	-0.00792923590534767
BIN21068	213	5.258856039104533	0.621493193260878	na	0.03545724224112639
BIN22126	1421	0.5892495451741473	0.5545001332093147	na	-0.017959864268516482
BIN22127	793	1.59517729220923	0.5336722453875593	na	0.024144237822211374
BIN22504	579	1.1586472822144602	0.5899650724553935	na	-0.011864971926582453
BIN3606	892	0.7430759703673371	0.5709517727454947	na	0.01044434259282887
BIN4598	6220	0.9869001814095079	0.5784449606269928	na	-0.003328213681222874
BIN4642	855	0.8713579831181031	0.6072159378023321	na	0.0075838792114623875
BIN4653	2312	1.0112136101455287	0.5880187067598811	na	0.005315942771247144
BIN4728	2534	1.0775659645278217	0.5618249016080858	na	0.010564148156891941
BIN_FC10001787	5791	1.4294549067368325	0.5238389479609096	na	0.040559499828762204
BIN_FC10001797	5796	0.8298372928618147	0.822012848789471	na	0.01551465897547695
BIN_FC10001835	10528	0.8159684790334387	0.806100477929895	na	-0.012037975475408181
BIN_FC10002159	1513	5.729772250771478e-17	0.6328644167813892	na	-0.002720276859327616
BIN_FC10002188	7938	1.3433183346246933	0.5971967543097471	na	0.02311910667046451
BIN_FC10002227	4477	1.2231843378011074	0.5514050377251074	na	0.01283151949798847
BIN_FC10002257	9769	1.1242130204401113	0.5763765134079399	na	-0.0012440300349359328
BIN_FC10002316	5371	1.4651023187631118	0.5403004796874901	na	0.00558350898611308
