PHE	TRAIN_RAW	TRAIN_RESID	TRAIN_JOINT	TRAIN_COVAR	TEST_RAW	TEST_RESID	TEST_JOINT	TEST_COVAR
INI25469	0.73909760918	0.570163341553	0.588275782927	0.0399711338345	0.0611580568359	0.00248220774561	0.0550965095333	0.0527399914906
INI25470	0.751808882244	0.574035156163	0.585717886969	0.0239836931605	0.0932374173482	0.00727242261797	0.0474701306527	0.040424871397
INI25471	0.691497423231	0.482050650456	0.489017860108	0.0111865256405	0.0734877026446	0.0045088448492	0.0100531897421	0.00554329854938
INI25472	0.666392805109	0.466841251485	0.493629732573	0.0499226591171	0.0895723259039	0.00769324655508	0.0631967876236	0.0558790986048
INI25473	0.637048879981	0.427375659819	0.456665763374	0.0508214398008	0.0948902701956	0.00946180794005	0.0617511940973	0.0527276157793
INI25474	0.7978753709	0.641395661934	0.644586382076	0.00800308351427	0.0712887599283	0.00492291630075	0.00490050049189	-6.20507804094e-05
INI25475	0.800320686035	0.643914125277	0.646061649888	0.00545032600271	0.0484560244144	0.00183352232228	0.00343634928479	0.00159988303168
INI25476	0.600461169929	0.373719907114	0.396113084882	0.0354908348809	0.0279590463669	-0.000249909161794	0.0254755123391	0.0257214631052
INI25477	0.594008365724	0.37286362797	0.409274155017	0.0579553124452	0.0793295810162	0.00467315162033	0.0741034109381	0.0697318781381
INI25478	0.732405444261	0.618545954838	0.672023485474	0.138703298083	0.00535995572352	-0.000728447907446	0.133093566912	0.133727914516
INI25479	0.719946208758	0.582732194386	0.630784927313	0.114112341393	0.0281724540691	-0.000516469308348	0.126742150603	0.127194949866
INI25482	0.614021556756	0.393544548969	0.415651533963	0.0361866048227	0.0265665345796	-0.000270403108455	0.0398289430466	0.0400872708272
INI25483	0.592480320536	0.373069341849	0.407059554736	0.0540426815426	0.0708999778543	0.00398095248355	0.0571871384529	0.0533971800721
INI25488	0.789551300051	0.626812356804	0.628901623142	0.00548341718271	0.075355820947	0.00502886302477	0.00990684121784	0.00488432350644
INI25489	0.754513311246	0.593869231033	0.610913268483	0.0414824219644	0.0588480281976	0.00276618121012	0.0775457409535	0.0749688266667
INI25490	0.740200109427	0.59130338537	0.621281171885	0.0730819769872	0.0710262897373	0.00470026176043	0.109820522102	0.105570268932
INI25491	0.757940590919	0.609971117215	0.633264018361	0.0596307460447	0.0879868427957	0.00702854950398	0.0860631806659	0.0795617673422
INI25492	0.795939754356	0.666506485318	0.683562342834	0.0507066372111	0.0250955359998	0.000836993325684	0.0676009799343	0.0668136620862
INI25493	0.779549990341	0.629270158203	0.643043132127	0.0367074873967	0.041426141384	0.000911763973987	0.0394997280193	0.0386206339744
INI25494	0.798629073268	0.658032143831	0.669987607275	0.0340990669821	0.060792015764	0.00226854652289	0.0357212838044	0.0335159243612
INI25495	0.8035878009	0.66674040507	0.677386995905	0.0314683303729	0.0277510037615	0.000547557272307	0.0496501976817	0.0491234807926
INI25496	0.710346906705	0.518261355628	0.530570648087	0.0253957908263	0.0837979752662	0.00571673368152	0.0566208272382	0.0511526118344
INI25497	0.721506089768	0.546206948956	0.566995058794	0.045517602852	0.107024929601	0.0097576320668	0.102960213316	0.0940331857426
INI25498	0.70081616637	0.49376050418	0.496802445315	0.00531190699355	0.0818303228648	0.0057808711352	0.00543140288494	-0.000380276956838
INI25499	0.667050406475	0.478885782232	0.520538975812	0.078558152225	0.149005906736	0.0239722542796	0.102900830023	0.0807642365561
INI25500	0.696646265514	0.514726301194	0.541960534635	0.0558598825029	0.123928215259	0.0166432162754	0.0669296721669	0.0510739563994
INI25501	0.721740381496	0.545237227588	0.565343375554	0.0437490246422	0.110676364057	0.0131174878013	0.0530938971533	0.0404016489125
INI25502	0.755721818319	0.616058277747	0.642543051542	0.0689185194018	0.105516156516	0.0128153439248	0.0796055226393	0.0676085130567
INI25503	0.784134714525	0.655729072396	0.676529323257	0.0598785531193	0.100155259917	0.0110296308389	0.0686158581913	0.0581227727475
INI25504	0.708394290417	0.513533084454	0.525205693016	0.0235136607503	0.0553827827972	0.00246096988473	0.0349603343668	0.0325741196824
INI25505	0.675174349963	0.466661428341	0.479520349451	0.0240424195066	0.0117549425786	-0.000653841143001	0.0306983215105	0.0313351924999
INI25506	0.656530145731	0.441314633212	0.454354553727	0.0229177103917	0.0296134603143	0.000477887097383	0.0344509560569	0.033985333865
INI25507	0.732383154349	0.57588852581	0.604003216506	0.0660519452544	0.0676494444143	0.00556418551867	0.0876668257527	0.0825423364711
INI25508	0.690401251749	0.497584903666	0.519881010259	0.0430762889641	0.0636907236923	0.00358077844598	0.0445166617055	0.0410560202146
INI25509	0.777406079351	0.641420697872	0.662102698572	0.0576003750924	0.135112955173	0.0207163399216	0.065673505151	0.0458259079742
INI25510	0.78085707084	0.641393375481	0.658699346075	0.0481976922992	0.148285036075	0.0234616974316	0.0636521618321	0.041088661089
INI25511	0.802528789408	0.660844931956	0.669045938442	0.0237655610961	0.122037234486	0.0133781557691	0.0494813851298	0.0365662671759
INI25512	0.763181851913	0.597252896907	0.606668343159	0.0230011274125	0.106951274495	0.0103213381305	0.0495639333117	0.0396329522811
INI25513	0.790917808274	0.668333873501	0.68856495086	0.0604810806055	0.0842233327421	0.00647094796489	0.0563614696123	0.0501919331011
INI25514	0.787168174711	0.650633556359	0.666824915068	0.0457269742212	0.0971777456043	0.0100222846186	0.0556101562806	0.0459909223116
INI25515	0.796857117178	0.63613502063	0.63717174319	0.00165645280058	0.034479083518	0.000761563685321	0.00316922476405	0.0024041069106
INI25516	0.7691695475	0.602062579391	0.61004235313	0.0198493404815	0.0399025051539	0.00116194668326	0.0239508808984	0.0228022017911
INI25517	0.684198708887	0.565145087688	0.639568931244	0.170907824349	0.0629608167218	0.00507410812703	0.213495931577	0.209456253845
INI25518	0.689645746762	0.575420079107	0.651063585447	0.177996650735	0.0500754877839	0.00281062186528	0.218633060484	0.216426384267
INI25519	0.730657216235	0.542734961915	0.55075223426	0.0172726086672	0.092013784077	0.00873841826054	0.031981906483	0.0234311970202
INI25520	0.734154504229	0.54971682973	0.558490737479	0.019044200448	0.0832846501587	0.00671780298037	0.0389928399373	0.0324769084224
INI25521	0.749042702127	0.580426204547	0.596061613158	0.0366099367608	0.0840805666356	0.00697985354356	0.0461777107824	0.0394188056289
